latitude,longitude,altitude,geometry,﻿web-scraper-order,web-scraper-start-url,riverSegment,riverName,riverMile,bank,season,camping,contact,phone,website,restrooms-src,potableWater-src,marineDumpStation-src,dayUseOnly-src,picnicShelters-src,boatRamp-src,handCarried-src,marina-src,adaAccess-src
46.238445,-119.226897,,Point,1639846090-115,http://www.ndwt.org/ndwt/explore/site.asp?site=96,Lake Wallula,Columbia,334,WA,year round,None,City of Richland Parks Department,(509) 942-7529,http://tinyurl.com/3pg5fx,1,0,0,1,1,1,1,0,1
46.22209,-119.140141,,Point,1639846088-114,http://www.ndwt.org/ndwt/explore/site.asp?site=97,Lake Wallula,Columbia,330,WA,Year Round,None,City of Kennewick,(509)-585-4529,http://tinyurl.com/2xqny3,1,0,0,0,0,1,1,1,0
46.450916,-116.818144,,Point,1639846245-183,http://www.ndwt.org/ndwt/explore/site.asp?site=26,,Clearwater,,ID,,,,,,0,0,0,0,0,0,0,0,0
45.835,-119.29,,Point,1639846026-86,http://www.ndwt.org/ndwt/explore/site.asp?site=125,Lake Umatilla,Columbia,259,WA,,,,,,0,0,0,0,0,0,0,0,0
45.93117,-119.269871,,Point,1639846059-101,http://www.ndwt.org/ndwt/explore/site.asp?site=110,Lake Wallula,Columbia,296,OR,Gates closed at sunset between May 1st and September 30th.,None,McNary Lock and Dam,,http://tinyurl.com/yptolj,1,1,0,1,1,0,1,0,1
46.49602,-116.72854,,Point,1639845845-7,http://www.ndwt.org/ndwt/explore/site.asp?site=207,,Clearwater,18,South,,Tent and RV,Idaho Fish & Game,(208) 476-4541,http://tinyurl.com/286spz,1,1,0,0,0,0,1,0,0
45.741,-120.22,,Point,1639846017-82,http://www.ndwt.org/ndwt/explore/site.asp?site=129,Lake Umatilla,Columbia,242,WA,,Yes,The Dalles Natural Resource Management Office,(541)-386-9225,http://roosevelt.mediaforte.com/,1,0,0,1,0,1,1,0,0
45.692167,-121.882367,,Point,1639845928-42,http://www.ndwt.org/ndwt/explore/site.asp?site=169,Lake Bonneville,Columbia,150,WA,year round,undeveloped,Port of Skamania,509-427-5484,,1,0,0,1,0,0,0,0,1
45.69925,-121.66785,,Point,1639845933-44,http://www.ndwt.org/ndwt/explore/site.asp?site=167,Lake Bonneville,Columbia,160,OR,Day use park and windsurfing area open year round. Camping Mid-March - October.,Tent and RV sites,Oregon State Parks,503-695-2261 x 222,http://www.oregonstateparks.org/park_171.php,1,1,0,1,1,0,0,0,1
45.626133,-121.197767,,Point,1639845973-62,http://www.ndwt.org/ndwt/explore/site.asp?site=149,Lake Bonneville,Columbia,190,OR,year round,undeveloped,Port of The Dalles,541-298-4148,,1,0,0,1,0,0,0,0,1
46.576515,-118.091199,,Point,1639846163-148,http://www.ndwt.org/ndwt/explore/site.asp?site=63,Lake West,Snake,67,N -WA,Year round,Yes,Clarkston Natural Resources Office,509-751-0240,http://tinyurl.com/2hv54s,1,0,0,1,0,0,1,0,0
46.52504,-116.62625,,Point,1639845847-8,http://www.ndwt.org/ndwt/explore/site.asp?site=206,Clearwater,Clearwater,5,South,year round,None,BLM Cottonwood Field Office,(503) 588-2701,,1,0,0,1,0,0,0,0,0
45.694067,-121.878017,,Point,1639845924-40,http://www.ndwt.org/ndwt/explore/site.asp?site=171,Lake Bonneville,Columbia,150,WA,year round,None,Port of Skamania,509-427-5484,http://tinyurl.com/2d9js8,1,0,0,1,0,1,1,0,1
46.6241,-117.37525,,Point,1639846202-166,http://www.ndwt.org/ndwt/explore/site.asp?site=45,Lower Granite Lake,Snake,111,N - WA,year round,Yes,Clarkston Natural Resources Office,(	509) 751-0240,http://tinyurl.com/ysektr,1,0,0,0,0,1,0,0,1
46.41935,-117.036083,,Point,1639846218-173,http://www.ndwt.org/ndwt/explore/site.asp?site=38,Lower Granite Lake,Snake,140,W -WA,Year round,None,Clarkston Natural Resources Office,(509) 751-0240,http://tinyurl.com/yu9rmu,1,1,0,1,0,1,0,0,1
46.260205,-118.846432,,Point,1639846121-129,http://www.ndwt.org/ndwt/explore/site.asp?site=82,Lake Sacajawea,Snake,11,S -WA,"day-use open year round, Fee campground May 1 to Oct 31, 6a.m. to 10p.m.",Yes,Ice Harbor Lock and Dam,509-547-2048,http://tinyurl.com/yplt56,1,0,0,1,0,1,1,1,0
46.41609,-117.195539,,Point,1639846209-169,http://www.ndwt.org/ndwt/explore/site.asp?site=42,Lower Granite Lake,Snake,132,S -WA,Opening and closing dates will depend upon use and weather.,Yes,Clarkston Natural Resources Office,509-758-9580 (Summer Only),http://tinyurl.com/27b2ev,1,1,1,0,0,1,0,0,1
46.4724,-117.23495,,Point,1639846207-168,http://www.ndwt.org/ndwt/explore/site.asp?site=43,Lower Granite Lake,Snake,126,N - ID,Year round,Yes,Clarkston Natural Resources Office,(505)-751-0240,http://tinyurl.com/2f8de3,1,0,0,0,0,1,0,0,1
46.29251,-118.809013,,Point,1639846125-131,http://www.ndwt.org/ndwt/explore/site.asp?site=80,Lake Sacajawea,Snake,15,N - WA,Year round,None,Ice Harbor Lock and Dam,(	509)-547-2048,http://tinyurl.com/2yvwrq,0,0,0,0,0,1,0,0,0
46.025706,-118.937465,,Point,1639846070-106,http://www.ndwt.org/ndwt/explore/site.asp?site=105,Lake Wallula,Columbia,312,WA,year round,None,McNary Lock & Dam,(509)-547-4946,http://tinyurl.com/yuy23z,1,0,0,1,0,1,1,0,0
46.6037,-117.357317,,Point,1639845887-25,http://www.ndwt.org/ndwt/explore/site.asp?site=188,Lower Granite Lake,Snake,113,,,undeveloped,,,,0,0,0,1,0,0,0,0,0
46.560671,-118.537673,,Point,1639846145-140,http://www.ndwt.org/ndwt/explore/site.asp?site=71,Lake West,Snake,41.6,both - WA,Year round,undeveloped,Ice Harbor Lock and Dam,,,1,0,0,1,0,0,0,0,0
46.437588,-118.63432,,Point,1639846136-136,http://www.ndwt.org/ndwt/explore/site.asp?site=75,Lake Sacajawea,Snake,30,S -WA,Year round,Yes,Ice Harbor Lock and Dam,509-547-2048,http://tinyurl.com/2g57yo,1,0,0,1,0,1,1,0,1
46,-117,,Point,1639845900-30,http://www.ndwt.org/ndwt/explore/site.asp?site=182,Lower Granite Lake,Snake,113,North,,undeveloped,,,,0,0,0,1,0,0,0,0,0
46.100058,-118.918884,,Point,1639846072-107,http://www.ndwt.org/ndwt/explore/site.asp?site=104,Lake Wallula,Columbia,314,WA,,,,,,0,0,0,0,0,0,0,0,0
46.201353,-119.03771,,Point,1639846103-121,http://www.ndwt.org/ndwt/explore/site.asp?site=90,Lake Wallula,Snake,1,N - WA / E (on Columbia),"Year round launch, park closes Oct to May",Yes,Ice Harbor Lock and Dam,(509)-545-2361,http://tinyurl.com/24v8xa,1,0,0,1,0,1,1,0,1
45.672183,-121.8912,,Point,1639845920-38,http://www.ndwt.org/ndwt/explore/site.asp?site=173,Lake Bonneville,Columbia,150,OR,year round,Tent and RV sites,Port of Cascade Locks,541-374-8427,http://www.portofcascadelocks.org/marinepark.htm,1,0,1,1,0,1,1,1,1
46.42056,-116.99883,,Point,1639846275-196,http://www.ndwt.org/ndwt/explore/site.asp?site=13,Clearwater,Clearwater,2,N - ID,Year round (Baseball & Softball Diamonds May 23- July)/Little League Baseball,None,Clarkston Natural Resources Office,208-746-2313,http://www.cityoflewiston.org/parkrec/index.htm,1,0,0,1,0,0,1,0,1
45.943539,-119.299175,,Point,1639846055-99,http://www.ndwt.org/ndwt/explore/site.asp?site=112,Lake Wallula,Columbia,292,WA,,,McNary Lock & Dam,,http://tinyurl.com/4xg488,0,0,0,0,0,0,0,0,0
46.593254,-118.218603,,Point,1639846156-145,http://www.ndwt.org/ndwt/explore/site.asp?site=66,Lake West,Snake,59.5,N -WA,Memorial Day weekend through September,Yes,Clarkston Natural Resources Office,(509) 399-8020,http://tinyurl.com/yojob8,1,0,0,1,0,1,0,1,1
45.939986,-119.30102,,Point,1639846053-98,http://www.ndwt.org/ndwt/explore/site.asp?site=113,Lake Wallula,Columbia,292,South,year round,None,McNary Lock and Dam,(541)-922-2268,,0,0,0,1,0,1,1,0,0
46.103134,-118.972277,,Point,1639846074-108,http://www.ndwt.org/ndwt/explore/site.asp?site=103,Lake Wallula,Columbia,317,N- WA,year round,undeveloped,Benton County Parks,,,0,0,0,0,0,0,0,0,0
46.189888,-119.050301,,Point,1639846079-110,http://www.ndwt.org/ndwt/explore/site.asp?site=101,Lake Wallula,Columbia,325,WA,year round,None,Benton County Facilities and Parks,(	509)-783-3118,http://tinyurl.com/29efgv,1,1,0,1,0,1,1,0,0
46.700363,-117.661417,,Point,1639846183-157,http://www.ndwt.org/ndwt/explore/site.asp?site=54,Lake Bryan,Snake,93,S -WA,,undeveloped,Army Corps of Engineers,,,0,0,0,0,0,0,0,0,0
45.715033,-121.5117,,Point,1639845953-53,http://www.ndwt.org/ndwt/explore/site.asp?site=158,Lake Bonneville,Columbia,169,OR,"year round , restrooms open and fees collected April 16-Sept. 30",undeveloped,Port of Hood River,541-386-1645,,1,0,0,1,0,0,0,1,1
46.561252,-118.100921,,Point,1639846161-147,http://www.ndwt.org/ndwt/explore/site.asp?site=64,Lake West,Snake,66,S -WA,Year round,None,Clarkston Natural Resources Office,509-751-0240,http://tinyurl.com/2789aj,1,0,0,1,0,1,1,0,0
45.722117,-121.570083,,Point,1639845960-56,http://www.ndwt.org/ndwt/explore/site.asp?site=155,Lake Bonneville,Columbia,174,WA,year round,None,Privately Owned,,http://tinyurl.com/2hd3vt,1,0,0,1,0,0,1,0,0
45.7,-120.79,,Point,1639845993-71,http://www.ndwt.org/ndwt/explore/site.asp?site=140,Lake Celilo,Columbia,210,WA,,Tent and RV,Peach Beach RV Park,509-773-4698,http://tinyurl.com/yqrneo,1,0,0,0,0,0,1,0,0
45.72,-120.2,,Point,1639846022-84,http://www.ndwt.org/ndwt/explore/site.asp?site=127,Lake Umatilla,Columbia,243,OR,,,,,,1,0,0,1,0,0,0,0,0
46.386579,-117.046945,,Point,1639846222-175,http://www.ndwt.org/ndwt/explore/site.asp?site=36,Lower Granite Lake,Snake,142,West,Year round,None,Clarkston Resources Office,,http://tinyurl.com/3onngf,1,0,0,0,1,1,1,0,0
46.658067,-117.42125,,Point,1639846196-163,http://www.ndwt.org/ndwt/explore/site.asp?site=48,Lower Granite Lake,Snake,107.4,,,,,,,0,0,0,0,0,0,0,0,0
45.704333,-121.477333,,Point,1639845946-50,http://www.ndwt.org/ndwt/explore/site.asp?site=161,Lake Bonneville,Columbia,170,OR,year round,None,Oregon State Parks,503-695-2261 x222,http://www.oregonstateparks.org/park_157.php,1,0,0,1,0,0,0,0,0
46.252776,-118.876926,,Point,1639846117-127,http://www.ndwt.org/ndwt/explore/site.asp?site=84,Lake Sacajawea,Snake,9.8,,,,,,,0,0,0,0,0,0,0,0,0
46.3389,-117.051283,,Point,1639846229-178,http://www.ndwt.org/ndwt/explore/site.asp?site=33,Lower Granite Lake,Snake,146,W -WA,Year round,undeveloped,City of Asotin,509-243-4412,,1,0,0,1,0,0,1,0,1
46.421968,-117.039147,,Point,1639846224-176,http://www.ndwt.org/ndwt/explore/site.asp?site=35,Lower Granite Lake,Snake,142,WA,,,,,,0,0,0,0,0,0,0,0,0
45.65,-120.96,,Point,1639845987-68,http://www.ndwt.org/ndwt/explore/site.asp?site=143,Lake Celilo,Columbia,202,OR,year round,None,The Dalles Natural Resource Management Office,,,1,0,0,1,0,1,1,0,0
46.592331,-117.896939,,Point,1639846174-153,http://www.ndwt.org/ndwt/explore/site.asp?site=58,Lake Bryan,Snake,77.5,,,,Corps of Engineers,(505)-751-0240,,0,0,0,0,0,0,0,0,0
45.682,-121.404367,,Point,1639845962-57,http://www.ndwt.org/ndwt/explore/site.asp?site=154,Lake Bonneville,Columbia,174,OR,year round,None,City of Mosier,,http://tinyurl.com/yr4c6d,1,0,0,1,0,0,0,0,0
46,-116,,Point,1639846279-198,http://www.ndwt.org/ndwt/explore/site.asp?site=11,Clearwater,Clearwater,3.5,N - ID,Year round,None,Clarkston Resources Office,,http://tinyurl.com/4dtvl6,1,0,0,1,0,1,1,0,1
46.585197,-118.003812,,Point,1639846172-152,http://www.ndwt.org/ndwt/explore/site.asp?site=59,Lake Bryan,Snake,72,S -WA,Year round,Yes,Clarkston Natural Resources Office,(505)-751-0240,http://tinyurl.com/2b95uu,1,0,0,1,0,1,0,0,1
46.684067,-117.450317,,Point,1639846189-160,http://www.ndwt.org/ndwt/explore/site.asp?site=51,Lake Bryan,Snake,105.5,N-WA,Year round,Yes,Clarkston Natural Resources Office,509-397-3208,http://tinyurl.com/22w5th,1,1,1,0,1,1,1,1,1
45.72275,-121.56,,Point,1639845937-46,http://www.ndwt.org/ndwt/explore/site.asp?site=165,Lake Bonneville,Columbia,167,WA,year round,None,US Fish and Wildlife Service,(509) 493-1730,http://tinyurl.com/2g2uev,1,0,0,1,0,0,0,0,1
45.901,-119.49,,Point,1639846042-93,http://www.ndwt.org/ndwt/explore/site.asp?site=118,Lake Umatilla,Columbia,283,S-OR,year round,None,The Dalles Natural Resource Management Office,503-922-3744,http://tinyurl.com/4cuffk,1,0,0,1,0,1,1,1,1
46.556791,-118.541413,,Point,1639846141-138,http://www.ndwt.org/ndwt/explore/site.asp?site=73,Lake Sacajawea,Snake,41,S -WA,Year round,Yes,Ice Harbor Lock and Dam,509-547-2048,http://tinyurl.com/yt2cfs,1,0,0,1,0,1,1,0,0
46.4202,-117.0696,,Point,1639846213-171,http://www.ndwt.org/ndwt/explore/site.asp?site=40,Lower Granite Lake,Snake,138,S -WA,Year round,RV only,Hells Canyon Marina,509-758-6963,http://www.hellscanyon.net/,1,0,1,0,1,1,0,1,1
46.3696,-117.05375,,Point,1639846227-177,http://www.ndwt.org/ndwt/explore/site.asp?site=34,Lower Granite Lake,Snake,143,E - ID,Year round,undeveloped,Hells Gate State Park,(208)-799-5015,,1,0,1,1,0,1,1,0,1
45.663,-121.04,,Point,1639845985-67,http://www.ndwt.org/ndwt/explore/site.asp?site=144,Lake Celilo,Columbia,199,WA,,,The Dalles Natural Resource Management Office,,,1,0,0,1,0,1,1,0,0
45.635167,-121.935017,,Point,1639845915-36,http://www.ndwt.org/ndwt/explore/site.asp?site=175,Bonneville Dam,Columbia,147,WA,year round,undeveloped,US Army Corps of Engineers,541-374-4556,,1,0,0,1,1,1,0,0,1
46.634917,-117.417067,,Point,1639846198-164,http://www.ndwt.org/ndwt/explore/site.asp?site=47,Lower Granite Lake,Snake,108,N - WA,Year round,Yes,Clarkston Natural Resources Office,(509) 751-0240,http://tinyurl.com/24x296,1,0,0,0,0,1,0,0,1
46.057807,-118.912411,,Point,1639845854-11,http://www.ndwt.org/ndwt/explore/site.asp?site=203,Lake Wallula,Columbia,315,,year round,Tent and RV,Ice Harbor Lock & Dam,,http://tinyurl.com/3zt3ul,1,0,0,0,0,1,1,0,0
46.680324,-117.501255,,Point,1639846185-158,http://www.ndwt.org/ndwt/explore/site.asp?site=53,Lake Bryan,Snake,102,S -WA,Year round,undeveloped,Clarkston Natural Resources Office,(505)-751-0204,,1,0,0,1,0,0,0,0,0
46.682524,-117.749768,,Point,1639846180-156,http://www.ndwt.org/ndwt/explore/site.asp?site=55,Lake Bryan,Snake,88,S -WA,Year round,Yes,Clarkston Natural Resources Office,(509) 751-0240,http://tinyurl.com/2ho48x,1,0,0,0,0,1,0,0,0
45.600517,-121.16875,,Point,1639845969-60,http://www.ndwt.org/ndwt/explore/site.asp?site=151,Lake Bonneville,Columbia,190,OR,Open May 25 - November 1.,None,Northern Wasco County Parks and Recreation,541-296-9533,http://tinyurl.com/35pvtm,1,0,0,1,1,1,0,0,1
46.214683,-119.0189,,Point,1639846105-122,http://www.ndwt.org/ndwt/explore/site.asp?site=89,Lake Wallula,Snake,2,WA,,,,,,0,0,0,0,0,0,0,0,0
45.676,-120.83,,Point,1639845991-70,http://www.ndwt.org/ndwt/explore/site.asp?site=141,Lake Celilo,Columbia,209,WA,,,,,,0,0,0,0,0,0,0,0,0
45.675533,-121.26455,,Point,1639845966-59,http://www.ndwt.org/ndwt/explore/site.asp?site=152,Lake Bonneville,Columbia,181,OR,year round,none,Oregon State Parks,503-695-2261 x222,http://www.oregonstateparks.org/park_161.php,1,0,0,1,0,0,0,0,1
46.50514,-116.34823,,Point,1639846301-208,http://www.ndwt.org/ndwt/explore/site.asp?site=1,Clearwater,Clearwater,40,South,year round,None,Nez Perce National Historic Park,,,1,0,0,1,0,0,0,0,1
46.476442,-116.766443,,Point,1639846264-191,http://www.ndwt.org/ndwt/explore/site.asp?site=18,,Clearwater,,ID,,,CMC/BLM,,,0,0,0,0,0,0,0,0,0
45.711867,-121.502833,,Point,1639845942-48,http://www.ndwt.org/ndwt/explore/site.asp?site=163,Lake Bonneville,Columbia,169,OR,year round,None,Port of Hood River,541-386-1645,,0,0,1,1,0,1,0,0,1
46.586974,-118.36984,,Point,1639846152-143,http://www.ndwt.org/ndwt/explore/site.asp?site=68,Lake West,Snake,51,S -WA,Year round,Yes,Ice Harbor Lock and Dam,509-547-2048,http://tinyurl.com/2gymwe,1,0,0,1,0,1,1,0,0
45.846,-119.7,,Point,1639846033-89,http://www.ndwt.org/ndwt/explore/site.asp?site=122,Lake Umatilla,Columbia,269,OR,March 15 through December 15,Yes,The Dalles Natural Resource Management Office,503-481-7217,http://tinyurl.com/4t4onc,1,0,0,1,0,1,1,0,1
46.21702,-119.115994,,Point,1639846085-113,http://www.ndwt.org/ndwt/explore/site.asp?site=98,Lake Wallula,Columbia,329,WA,,,Port of Kennewick,509.586.1186,http://www.portofkennewick.org/,0,0,0,0,0,1,1,0,0
46.616049,-117.796673,,Point,1639846176-154,http://www.ndwt.org/ndwt/explore/site.asp?site=57,Lake Bryan,Snake,83,S -WA,,,Port of Garfield,(509) 843-3740,http://www.portofgarfield.com/,0,0,0,0,0,1,1,0,0
45.932,-119.35,,Point,1639846044-94,http://www.ndwt.org/ndwt/explore/site.asp?site=117,Lake Umatilla,Columbia,289,WA,"Campground - April 1 to October 31, Day-Use - May to September",Yes,The Dalles Natural Resource Management Office,(509) 783-1270,http://tinyurl.com/ynthwd,1,1,0,0,0,1,1,0,1
46.5557,-117.269717,,Point,1639846205-167,http://www.ndwt.org/ndwt/explore/site.asp?site=44,Lower Granite Lake,Snake,119,N -WA,Year round,Yes,Clarkston Natural Resources Office,(509) 751-0240,http://tinyurl.com/23xfzh,1,0,0,1,0,1,0,0,1
45.722833,-121.498017,,Point,1639845944-49,http://www.ndwt.org/ndwt/explore/site.asp?site=162,Lake Bonneville,Columbia,169,WA,year round,undeveloped,Privately Owned,TBD,,1,0,0,1,0,0,0,0,0
45.711,-120.71,,Point,1639846000-74,http://www.ndwt.org/ndwt/explore/site.asp?site=137,Lake Celilo,Columbia,214,S-OR,,Yes,The Dalles Natural Resource Management Office,,,1,0,0,0,0,1,0,0,0
45.91,-119.5,,Point,1639846037-91,http://www.ndwt.org/ndwt/explore/site.asp?site=120,Lake Umatilla,Columbia,279,OR,,,,,,0,0,0,0,0,0,0,0,0
46.691417,-117.469283,,Point,1639846187-159,http://www.ndwt.org/ndwt/explore/site.asp?site=52,Lake Bryan,Snake,103,S -WA,Year round,Yes,Clarkston Natural Resources Office,(509) 751-0240,http://tinyurl.com/yrdgwu,1,1,1,1,0,1,1,1,0
45.917642,-119.174578,,Point,1639846061-102,http://www.ndwt.org/ndwt/explore/site.asp?site=109,Lake Wallula,Columbia,298,S-OR,Year Round,None,Oregon State Parks,(541)-567-5032,http://tinyurl.com/yopbvr,1,0,0,1,0,1,1,0,1
46.420567,-117.1913,,Point,1639846211-170,http://www.ndwt.org/ndwt/explore/site.asp?site=41,Lower Granite Lake,Snake,132,S -WA,Year round,undeveloped,Clarkston Resources Office,509-751-0256 or 509-751-0257,,0,0,0,1,0,0,0,0,0
45.846,-119.65,,Point,1639846031-88,http://www.ndwt.org/ndwt/explore/site.asp?site=123,Lake Umatilla,Columbia,269,OR,,,,,,1,0,0,0,1,1,1,0,0
46.401712,-117.001324,,Point,1639846270-194,http://www.ndwt.org/ndwt/explore/site.asp?site=15,,Clearwater,,ID,,,,,,0,0,0,0,0,0,1,0,0
46.251092,-118.881411,,Point,1639846114-126,http://www.ndwt.org/ndwt/explore/site.asp?site=85,,Snake,9.7,both - WA,"Visitor Center is open from April 1 through October 31, 2005",undeveloped,Ice Harbor Lock and Dam,,,1,0,0,1,0,1,1,0,1
46.569896,-118.530498,,Point,1639846150-142,http://www.ndwt.org/ndwt/explore/site.asp?site=69,Lake West,Snake,42,N -WA,Year round,Yes,Ice Harbor Lock and Dam,509-547-2048,http://tinyurl.com/2d278n,1,0,0,1,0,1,1,0,0
45.806,-119.8,,Point,1639846024-85,http://www.ndwt.org/ndwt/explore/site.asp?site=126,Lake Umatilla,Columbia,256,OR,,Yes,The Dalles Natural Resources Management Office,541-298-7527,,1,0,0,0,0,1,1,0,0
45.721,-120.46,,Point,1639846013-80,http://www.ndwt.org/ndwt/explore/site.asp?site=131,Lake Umatilla,Columbia,230,WA,,,,,,0,0,0,0,0,0,0,0,0
46.245222,-119.209361,,Point,1639846092-116,http://www.ndwt.org/ndwt/explore/site.asp?site=95,Lake Wallula,Columbia,334,WA,Year round,None,Franklin County Parks and Recreation,509-545-3541,http://tinyurl.com/23hgtk,1,0,0,1,1,1,1,0,1
46.630639,-117.812771,,Point,1639846178-155,http://www.ndwt.org/ndwt/explore/site.asp?site=56,Lake Bryan,Snake,83,N -WA,Opening and closing dates will depend upon use and weather,Yes,Clarkston Natural Resources Office,509-549-3551,http://tinyurl.com/2ho2vb,1,0,1,1,1,1,1,0,1
